id,utc-date,utc-time,parameter,location,value,unit,city,averagingperiod,apunit,latitude,longitude 1,country,mobile
1,20061113,064200,pm25,JTA - Jamestown,115.56,µg/m³,Accra,48.0,hours,5.540114,-0.2103972,GH,false
2,20061113,064200,pm10,JTA - Jamestown,161.09,µg/m³,Accra,48.0,hours,5.540114,-0.2103972,GH,false
3,20061113,071300,pm25,JTC - Jamestown,104.8,µg/m³,Accra,48.0,hours,5.5349193,-0.2124056,GH,false
4,20061113,071300,pm10,JTC - Jamestown,187.21,µg/m³,Accra,48.0,hours,5.5349193,-0.2124056,GH,false
5,20061113,073100,pm25,JTT - Jamestown,86.29,µg/m³,Accra,48.0,hours,5.5334554,-0.2129917,GH,false
6,20061113,073100,pm10,JTT - Jamestown,163.5,µg/m³,Accra,48.0,hours,5.5334554,-0.2129917,GH,false
7,20061113,063000,pm25,NMT - Nima,101.28,µg/m³,Accra,35.0,hours,5.58165,-0.19898,GH,false
8,20061113,071400,pm10,NMA - Nima,156.78,µg/m³,Accra,46.0,hours,5.58389,-0.19968,GH,false
9,20061113,071400,pm25,NMA - Nima,102.81,µg/m³,Accra,41.0,hours,5.58389,-0.19968,GH,false
10,20061115,061600,pm25,NMT - Nima,106.71,µg/m³,Accra,39.0,hours,5.58165,-0.19898,GH,false
11,20061115,061600,pm10,NMT - Nima,172.79,µg/m³,Accra,39.0,hours,5.58165,-0.19898,GH,false
12,20061115,062500,pm25,JTA - Jamestown,104.08,µg/m³,Accra,48.0,hours,5.540114,-0.2103972,GH,false
13,20061115,062500,pm10,JTA - Jamestown,165.57,µg/m³,Accra,48.0,hours,5.540114,-0.2103972,GH,false
14,20061115,065500,pm25,JTC - Jamestown,103.44,µg/m³,Accra,48.0,hours,5.5349193,-0.2124056,GH,false
15,20061115,065500,pm10,JTC - Jamestown,184.85,µg/m³,Accra,48.0,hours,5.5349193,-0.2124056,GH,false
16,20061115,071200,pm25,NMA - Nima,95.13,µg/m³,Accra,38.0,hours,5.58389,-0.19968,GH,false
17,20061115,071200,pm10,NMA - Nima,77.64,µg/m³,Accra,38.0,hours,5.58389,-0.19968,GH,false
18,20061115,071500,pm25,JTT - Jamestown,102.93,µg/m³,Accra,48.0,hours,5.5334554,-0.2129917,GH,false
19,20061115,071500,pm10,JTT - Jamestown,170.67,µg/m³,Accra,48.0,hours,5.5334554,-0.2129917,GH,false
20,20061117,062100,pm25,JTA - Jamestown,96.57,µg/m³,Accra,48.0,hours,5.540114,-0.2103972,GH,false
21,20061117,062100,pm10,JTA - Jamestown,172.8,µg/m³,Accra,48.0,hours,5.540114,-0.2103972,GH,false
22,20061117,080700,pm25,NMT - Nima,101.37,µg/m³,Accra,50.0,hours,5.58165,-0.19898,GH,false
23,20061117,080700,pm10,NMT - Nima,169.89,µg/m³,Accra,50.0,hours,5.58165,-0.19898,GH,false
24,20061117,070000,pm25,JTC - Jamestown,105.53,µg/m³,Accra,44.0,hours,5.5349193,-0.2124056,GH,false
25,20061117,070000,pm10,JTC - Jamestown,180.69,µg/m³,Accra,44.0,hours,5.5349193,-0.2124056,GH,false
26,20061117,090000,pm25,NMA - Nima,90.67,µg/m³,Accra,50.0,hours,5.58389,-0.19968,GH,false
27,20061117,090000,pm10,NMA - Nima,154.69,µg/m³,Accra,50.0,hours,5.58389,-0.19968,GH,false
28,20061117,071500,pm25,JTT - Jamestown,112.76,µg/m³,Accra,48.0,hours,5.5334554,-0.2129917,GH,false
29,20061117,071500,pm10,JTT - Jamestown,189.28,µg/m³,Accra,48.0,hours,5.5334554,-0.2129917,GH,false
30,20061119,081000,pm25,JTA - Jamestown,149.54,µg/m³,Accra,50.0,hours,5.540114,-0.2103972,GH,false
31,20061119,081000,pm10,JTA - Jamestown,169.38,µg/m³,Accra,50.0,hours,5.540114,-0.2103972,GH,false
32,20061119,075500,pm25,JTC - Jamestown,162.36,µg/m³,Accra,49.0,hours,5.5349193,-0.2124056,GH,false
33,20061119,075500,pm10,JTC - Jamestown,218.14,µg/m³,Accra,49.0,hours,5.5349193,-0.2124056,GH,false
34,20061119,072300,pm25,JTT - Jamestown,101.06,µg/m³,Accra,26.0,hours,5.5334554,-0.2129917,GH,false
35,20061119,072300,pm10,JTT - Jamestown,247.07,µg/m³,Accra,26.0,hours,5.5334554,-0.2129917,GH,false
36,20061119,060400,pm25,NMT - Nima,95.94,µg/m³,Accra,46.0,hours,5.58165,-0.19898,GH,false
37,20061119,060400,pm10,NMT - Nima,162.72,µg/m³,Accra,46.0,hours,5.58165,-0.19898,GH,false
38,20061119,064500,pm25,NMA - Nima,83.3,µg/m³,Accra,46.0,hours,5.58389,-0.19968,GH,false
39,20061119,064500,pm10,NMA - Nima,139.62,µg/m³,Accra,46.0,hours,5.58389,-0.19968,GH,false
40,20061121,064500,pm25,NMT - Nima,106.72,µg/m³,Accra,49.0,hours,5.58165,-0.19898,GH,false
41,20061121,064500,pm10,NMT - Nima,191.82,µg/m³,Accra,49.0,hours,5.58165,-0.19898,GH,false
42,20061121,073300,pm25,NMA - Nima,115.18,µg/m³,Accra,49.0,hours,5.58389,-0.19968,GH,false
43,20061121,073300,pm10,NMA - Nima,180.88,µg/m³,Accra,49.0,hours,5.58389,-0.19968,GH,false
44,20061121,073600,pm25,JTT - Jamestown,127.21,µg/m³,Accra,48.0,hours,5.5334554,-0.2129917,GH,false
45,20061121,073600,pm10,JTT - Jamestown,208.53,µg/m³,Accra,48.0,hours,5.5334554,-0.2129917,GH,false
46,20061121,071400,pm25,JTC - Jamestown,99.5,µg/m³,Accra,47.0,hours,5.5349193,-0.2124056,GH,false
47,20061121,071400,pm10,JTC - Jamestown,225.58,µg/m³,Accra,47.0,hours,5.5349193,-0.2124056,GH,false
48,20061121,063600,pm25,JTA - Jamestown,131.92,µg/m³,Accra,47.0,hours,5.540114,-0.2103972,GH,false
49,20061121,063600,pm10,JTA - Jamestown,186.08,µg/m³,Accra,47.0,hours,5.540114,-0.2103972,GH,false
50,20061123,062000,pm25,JTA - Jamestown,105.4,µg/m³,Accra,48.0,hours,5.540114,-0.2103972,GH,false
51,20061123,062000,pm10,JTA - Jamestown,138.38,µg/m³,Accra,48.0,hours,5.540114,-0.2103972,GH,false
52,20061123,061800,pm25,NMT - Nima,92.94,µg/m³,Accra,47.0,hours,5.58165,-0.19898,GH,false
53,20061123,061800,pm10,NMT - Nima,163.26,µg/m³,Accra,47.0,hours,5.58165,-0.19898,GH,false
54,20061123,063700,pm25,JTC - Jamestown,106.13,µg/m³,Accra,47.0,hours,5.5349193,-0.2124056,GH,false
